Position,"Track Name",Artist,Streams,URL
55,"El Amante","Nicky Jam",1212912,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
56,Perfect,"Ed Sheeran",1205896,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
57,"The Cure","Lady Gaga",1190583,https://open.spotify.com/track/34oB5r0lcN3fYWCs2uA1k5
58,"Now Or Never",Halsey,1180101,https://open.spotify.com/track/3Px934J0dBoCmpUhUuCQkD
59,Chantaje,Shakira,1160400,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
60,"Tunnel Vision","Kodak Black",1156538,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
61,Selfish,Future,1153604,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
62,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1139310,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
63,Weak,AJR,1138912,https://open.spotify.com/track/3TJk0aoXM0knrOlgd1fnbx
64,Happier,"Ed Sheeran",1061202,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
65,Touch,"Little Mix",1052993,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
66,"Still Got Time",ZAYN,1051097,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
67,"September Song","JP Cooper",1049783,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
68,"Fake Love",Drake,1047960,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
69,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,1004481,https://open.spotify.com/track/6DRGwsUFQrNerxRexK7KMB
70,"How Far I'll Go - From ""Moana""","Alessia Cara",1003388,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
71,"Let Me Love You","DJ Snake",998625,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
72,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,964052,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
73,"No Promises (feat. Demi Lovato)","Cheat Codes",963940,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
74,"Bounce Back","Big Sean",957024,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
75,"One Dance",Drake,956062,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
76,Blem,Drake,948475,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
77,"Body Like A Back Road","Sam Hunt",899473,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
78,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",899238,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
79,"24K Magic","Bruno Mars",875598,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
80,"Sigo Extrañándote","J Balvin",866107,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
81,"Tuesday (feat. Danelle Sandoval)","Burak Yeter",866039,https://open.spotify.com/track/7EVk9tRb6beJLTHrg6AkY9
82,"Otra Vez (feat. J Balvin)","Zion & Lennox",842159,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
83,Gyalchester,Drake,840664,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
84,Starving,"Hailee Steinfeld",831005,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
85,"Don't Wanna Know","Maroon 5",830239,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
86,"Reggaetón Lento (Bailemos)",CNCO,820580,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
87,T-Shirt,Migos,819412,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
88,Dive,"Ed Sheeran",815310,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
89,"La Rompe Corazones","Daddy Yankee",800461,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
90,"Look At Me!",Xxxtentacion,796191,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
91,"Hear Me Now",Alok,785413,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
92,goosebumps,"Travis Scott",782383,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
93,Unforgettable,"French Montana",764003,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
94,"Escápate Conmigo",Wisin,761290,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
95,"Don't Let Me Down","The Chainsmokers",756611,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
96,"All Time Low","Jon Bellion",754999,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
97,Swang,"Rae Sremmurd",734087,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
98,Redbone,"Childish Gambino",728708,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
99,"All Night","The Vamps",726573,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
100,Everyday,"Ariana Grande",725742,https://open.spotify.com/track/6yL2kTsdVwYnGwPkKGtMd5
101,Heatstroke,"Calvin Harris",720779,https://open.spotify.com/track/1N90cV79gbBgO0bOs74Y0t
102,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",719518,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
103,"What Do I Know?","Ed Sheeran",710428,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
104,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",698934,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
105,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",697572,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
106,"In the Name of Love","Martin Garrix",694625,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
107,History,"Olivia Holt",688391,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
108,"The Night We Met","Lord Huron",681433,https://open.spotify.com/track/0QZ5yyl6B6utIWkxeBDxQN
